actor_id,first_name,last_name,gender
4678,Pisan,Akaraseni,M
4682,Ichirô,Akasaki,M
4686,Sanma,Akashiya,M
4689,Masato,Akatsuka,M
4695,Ezel,Akay,M
4696,Dennis,Akayama,M
4697,Asker,Akayev,M
4701,Ghafir,Akbar,M
4704,Abdolreza,Akbari,M
4706,Rashid,Akbari,M
4707,Saman,Akbari,M
4708,Sohrab,Akbari,M
4710,Ali,Akbarzadeh,M
4720,Noël,Akchoté,M
4735,Ahmed,Akensouss,M
4737,C.J.,Aker,M
4739,Nick,Akerberg,M
4742,Daniel,Akerlind,M
4746,Jeremy,Akerman,M
4747,Tahar,Akermi,M
4750,Steve,Akers,M
4769,Navíd,Akhavan,M
4770,Medzhid,Akhedzhakov,M
4783,Abdelmalek,Akhmiss,M
4785,Nabil,Akhmiss,M
4789,Imran,Akhtar,M
4790,Masood,Akhtar,M
4802,Gapar,Akilbekov,M
4809,Yôsuke,Akimoto,M
4817,Cem,Akin,M
4819,Daniel,Akin,M
4820,David,Akin,M
4821,Fatih,Akin,M
4823,Mustafa Enver,Akin,M
4824,Philip,Akin,M
4826,Steve,Akin,M
4828,Yasar,Akin,M
4835,Bayo,Akinfemi,M
4836,Jimmy,Akingbola,M
4840,Adewale,Akinnuoye-Agbaje,M
4848,Francis,Akins,M
4856,Julliet,Akinyi,M
4867,Denis,Akiyama,M
4877,Takuya,Akiyama,M
4884,Bora,Akkas,M
4892,Nagarjuna,Akkineni,M
4894,Daniel,Akkitirq,M
4895,Isa,Akkitirq,M
4896,Pipily,Akkitirq,M
4897,Steven,Akkitirq,M
4898,Alper,Akkoc,M
4900,Mouloud,Akkouche,M
4901,Murat,Akkoyunlu,M
4908,Will,Aklin,M
4914,Jim,Akman,M
4925,Pierre,Aknine,M
4952,Metin,Akpinar,M
4955,Ignat,Akrachkov,M
4956,Barmak,Akram,M
4957,Hajaz,Akram,M
4958,Javed,Akram,M
4964,Karim,Akriche,M
4973,Rigas,Akselos,M
4977,Milan,Aksentijevic,M
4979,Master,Akshit,M
4982,Bekir,Aksoy,M
5002,Uygar,Aktan,M
5003,Sehsuvar,Aktas,M
5020,Tuncay,Akça,M
5022,Halit,Akçatepe,M
5024,Yalçin,Akçay,M
